ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,Age,Years_Working
5008838,M,N,Y,1,129820,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,-9,X,32,6
5008839,M,N,Y,1,129820,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,C,32,6
5008840,M,N,Y,1,129820,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,C,32,6
5008841,M,N,Y,1,129820,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,0,32,6
5008842,M,N,Y,1,129820,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,0,32,6
5008843,M,N,Y,1,129820,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,C,32,6
5008873,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008874,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008875,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008876,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008877,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008878,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,-32,1,34,5
5008879,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008880,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008881,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,0,C,34,5
5008882,F,N,Y,2,144393,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,-6,C,34,5
5008998,F,Y,Y,0,68702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-1,X,29,2
5008999,F,Y,Y,0,68702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-21,X,29,2
5009092,M,Y,Y,1,104293,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,0,1,33,3
5009094,M,Y,Y,1,104293,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,0,0,33,3
